country,A,ADV,ADVPRO,ANUM,APRO,COM,CONJ,INTJ,NUM,PART,PR,S,SPRO,V,number.of.tales
Алтайские,2059,1177,464,69,1083,0,1768,91,265,1057,2634,8771,1681,6021,39
Казахские,1155,1153,493,90,1407,0,2444,44,200,1030,2632,7265,2907,6386,35
Тибетские,285,389,149,12,345,0,681,5,34,327,632,1715,754,1478,7
Негидальские,288,453,260,3,367,0,574,29,66,382,643,2091,571,1978,9
Абазинские,320,286,155,19,343,0,608,11,45,357,632,1730,665,1513,6
Белорусские,3176,3274,1940,206,2952,8,7754,251,546,4345,6884,23044,7082,18034,77
Нидерландские,10,32,7,0,8,0,35,2,2,22,47,125,31,112,1
Венгерские,2560,3042,1468,152,2584,0,5514,249,460,4027,5032,13888,5013,12435,30
Камбоджийские,97,117,54,22,188,0,292,3,37,136,247,829,348,765,11
Ангольские,1396,1842,800,92,1668,1,2962,73,170,1610,2633,7699,3556,6832,32
Монгольские,622,585,275,23,520,0,1208,30,67,695,1079,3365,1094,2895,27
Китайские,1130,1271,444,52,967,1,2208,34,158,1025,2029,5527,1864,4673,34
Узбекские,1329,1208,514,82,1031,0,2381,125,177,1041,2576,7935,2170,6377,28
Хантыйские,275,406,179,12,261,1,486,14,30,311,530,1755,665,1905,9
Хакасские,348,331,133,13,259,0,591,12,65,288,761,2014,639,1856,12
Французские,951,1202,566,62,1198,0,2321,75,208,1355,2286,5914,2515,5211,26
Каталонские,187,126,72,6,156,0,336,7,16,157,328,977,221,681,4
Австрийские,118,110,68,2,119,0,234,6,18,151,277,768,248,654,4
Шотландские,3719,2919,1321,164,2999,3,6283,65,312,2745,5788,14889,5489,11753,47
Ногайские,29,29,8,1,45,0,50,2,4,30,73,212,55,131,1
Карачаевские,1576,1699,721,66,1511,0,3143,62,178,1437,3060,8652,3303,7767,31
Польские,1880,1476,597,79,1230,0,3134,74,181,1553,3315,8689,2286,6604,20
Армянские,5906,5065,2536,243,6217,0,10653,282,906,5306,11088,31668,13057,27037,151
Кампучийские,28,19,8,0,14,0,42,0,2,12,54,125,21,101,1
Беломорские,2006,3901,1858,317,3015,0,8277,108,724,5637,5525,13980,9160,17013,11
Черкесские,397,381,139,19,457,0,742,17,85,398,776,2158,733,1796,8
Чукотские,469,562,230,21,345,0,1118,23,46,482,1099,3472,1051,3113,20
Молдавские,918,860,454,37,860,1,2124,81,76,1021,2007,5656,1726,4559,21
Датские,1686,1811,890,69,1469,0,4115,100,246,2383,3769,9605,3516,8125,21
Черногорские,236,259,150,22,279,0,666,13,34,259,598,1448,748,1503,5
Чешские,1014,1260,597,71,1023,0,2397,59,193,1367,2243,5890,2359,5617,22
Океанийские,602,630,281,34,608,0,1111,6,62,433,1092,3475,1256,2698,12
Грузинские,1724,1539,809,86,1524,0,3199,43,257,1861,3791,11013,3546,9701,45
Туркменские,153,175,66,9,172,0,366,12,17,122,392,1061,342,828,3
Словенские,911,906,380,101,780,0,2004,26,146,808,1777,4387,1554,3808,19
Еврейские,454,412,219,18,427,0,929,14,68,383,860,2499,857,2033,19
Нанайские,1199,1659,762,49,1429,1,2429,91,191,1309,2888,8964,2500,7844,32
Адыгейские,5103,5220,2077,299,6184,1,9791,100,762,4075,10679,26900,11746,24416,67
Крымские,40,77,30,7,93,0,143,7,12,110,109,373,184,375,1
Калмыцкие,822,633,282,44,647,0,1267,32,105,577,1321,4093,1253,3351,21
Зулусские,32,63,15,1,119,0,193,0,9,86,98,472,281,540,1
Кетские,303,464,216,32,393,0,541,10,63,327,915,2939,979,2752,21
Японские,4533,5416,2160,177,3745,0,7921,350,405,4888,8583,22490,8429,19918,108
Румынские,507,545,276,38,434,0,1192,31,79,621,1061,2840,1091,2527,9
Марийские,358,411,187,33,430,0,777,30,115,437,1029,2950,837,2454,14
Гагаузские,135,119,62,6,127,0,224,3,11,138,235,713,285,623,2
